Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Team_name,Seed,Col_10,multi_event_points,Col_12,Col_13,Col_14,Col_15,Col_16,Event_sex,Event_name,Seed_numeric,is_lower_better,Rank,score
3,2,Brody,BUFFINGTON,FR,353.0,Georgia,UGA,20.24,,20.24,,Prelims,track,9,m,Men,200 M,20.24,True,14.0,0.0
1,4,Eddie,NKETIA,SO,1134.0,USC,USC,20.24,,20.24,,Prelims,track,9,m,Men,200 M,20.24,True,14.0,0.0
2,3,Jalen,JOHNSON,FR,230.0,Clemson,CLEM,20.29,,20.29,,Prelims,track,9,m,Men,200 M,20.29,True,17.0,0.0
3,3,Mikey,MCCLAIN,SO,421.0,Iowa State,IAST,20.30,,20.30,,Prelims,track,9,m,Men,200 M,20.3,True,18.0,0.0
2,5,De'montray,CALLIS,SR,154.0,Baylor,BAY,20.32,,20.32,,Prelims,track,9,m,Men,200 M,20.32,True,19.0,0.0
2,4,Kashie,CROCKETT,SR,959.0,TCU,TCU,20.32,,20.20,,Prelims,track,9,m,Men,200 M,20.32,True,19.0,0.0
2,2,Tory,LANHAM,SO,486.0,Kansas City,UMKC,20.33,,20.33,,Prelims,track,9,m,Men,200 M,20.33,True,21.0,0.0
1,2,Mason,LAWYER,JR,1198.0,Washington State,WAST,20.34,,20.34,,Prelims,track,9,m,Men,200 M,20.34,True,22.0,0.0
1,8,Tristyn,FLORES,JR,531.0,Long Beach St.,LBST,20.46,,20.46,,Prelims,track,9,m,Men,200 M,20.46,True,23.0,0.0
3,9,Cameron,TARVER,JR,882.0,San Jose St.,SJSU,20.52,,20.52,,Prelims,track,9,m,Men,200 M,20.52,True,24.0,0.0
1,5,Geoffrey,KIRWA,FR,546.0,Louisville,LOU,8:13.89,,8:13.89,,Prelims,track,3,m,Men,3000 M Steeple,493.89,True,1.0,10.0
1,8,Mathew,KOSGEI,FR,698.0,New Mexico,UNM,8:22.13,,8:22.13,,Prelims,track,3,m,Men,3000 M Steeple,502.13,True,2.0,8.0
2,6,James,CORRIGAN,JR,184.0,BYU,BYU,8:22.20,,8:22.20,,Prelims,track,3,m,Men,3000 M Steeple,502.2,True,3.0,6.0
2,2,Collins,KIPROP KIPNGOK,FR,514.0,Kentucky,UK,8:22.67,,8:22.67,,Prelims,track,3,m,Men,3000 M Steeple,502.67,True,4.0,5.0
2,7,Joash,RUTO,FR,423.0,Iowa State,IAST,8:25.42,,8:25.42,,Prelims,track,3,m,Men,3000 M Steeple,505.42,True,5.0,4.0
1,12,Rob,MCMANUS,JR,641.0,Montana State,MTST,8:26.83,,8:26.83,,Prelims,track,3,m,Men,3000 M Steeple,506.83,True,6.0,3.0
2,1,Silas,KIPTANUI,SO,1018.0,Tulane,TUL,8:27.28,,8:27.28,,Prelims,track,3,m,Men,3000 M Steeple,507.28,True,7.0,2.0
2,8,Bismack,KIPCHIRCHIR,FR,13.0,Akron,AKRN,8:27.51,,8:27.51,,Prelims,track,3,m,Men,3000 M Steeple,507.51,True,8.0,1.0
1,1,Brett,GARDNER,JR,671.0,NC State,NCSU,8:29.65,,8:29.65,,Prelims,track,3,m,Men,3000 M Steeple,509.65,True,9.0,0.0
1,7,Kristian,IMROTH,JR,276.0,Eastern Kentucky,EKU,8:30.66,,8:30.66,,Prelims,track,3,m,Men,3000 M Steeple,510.66,True,10.0,0.0
2,5,Carson,WILLIAMS,SR,327.0,Furman,FURM,8:30.83,,8:30.83,,Prelims,track,3,m,Men,3000 M Steeple,510.83,True,11.0,0.0
2,3,Cody,LARSON,JR,883.0,South Dakota State,SDST,8:30.96,,8:30.96,,Prelims,track,3,m,Men,3000 M Steeple,510.96,True,12.0,0.0
2,4,Benjamin,BALAZS,SO,803.0,Oregon,UO,8:31.13,,8:31.13,,Prelims,track,3,m,Men,3000 M Steeple,511.13,True,13.0,0.0
2,10,Kole,MATHISON,SO,236.0,Colorado,COLO,8:32.74,,8:32.74,,Prelims,track,3,m,Men,3000 M Steeple,512.74,True,14.0,0.0
1,4,Victor,KIBIEGO,JR,1041.0,Texas A&M,TAMU,8:32.83,,8:25.48,,Prelims,track,3,m,Men,3000 M Steeple,512.83,True,15.0,0.0
1,2,Ryker,HOLTZEN,JR,1232.0,Wyoming,WYO,8:34.95,,8:34.95,,Prelims,track,3,m,Men,3000 M Steeple,514.95,True,16.0,0.0
1,9,Peter,VISSER,JR,1212.0,Weber State,WEBE,8:35.98,,8:35.98,,Prelims,track,3,m,Men,3000 M Steeple,515.98,True,17.0,0.0
2,12,CJ,SINGLETON,JR,727.0,Notre Dame,ND,8:36.51,,8:27.46,,Prelims,track,3,m,Men,3000 M Steeple,516.51,True,18.0,0.0
2,9,Titus,KIMARU,FR,1074.0,Texas Tech,TTU,8:36.83,,8:36.83,,Prelims,track,3,m,Men,3000 M Steeple,516.83,True,19.0,0.0
1,3,Andrew,NOLAN,SR,590.0,Michigan State,MIST,8:37.83,,8:37.83,,Prelims,track,3,m,Men,3000 M Steeple,517.83,True,20.0,0.0
1,11,Nathan,DAVIS,JR,100.0,Army West Point,ARMY,8:38.72,,8:38.72,,Prelims,track,3,m,Men,3000 M Steeple,518.72,True,21.0,0.0
1,10,Quinton,ORR,JR,422.0,Iowa State,IAST,8:39.13,,8:39.13,,Prelims,track,3,m,Men,3000 M Steeple,519.13,True,22.0,0.0
1,6,Declan,RYMER,SR,1169.0,Virginia Tech,VT,8:40.22,,8:40.22,,Prelims,track,3,m,Men,3000 M Steeple,520.22,True,23.0,0.0
2,11,Ezekiel,PITIRENG,FR,37.0,Alabama,BAMA,8:40.37,,8:40.37,,Prelims,track,3,m,Men,3000 M Steeple,520.37,True,24.0,0.0
1,4,Micahi,DANZY,FR,293.0,Florida State,FSU,44.38,,44.38,,Prelims,track,6,m,Men,400 M,44.38,True,1.0,10.0
1,6,Samuel,OGAZI,SO,36.0,Alabama,BAMA,44.43,,44.43,,Prelims,track,6,m,Men,400 M,44.43,True,2.0,8.0
1,5,Auhmad,ROBINSON,SR,1045.0,Texas A&M,TAMU,44.61,,44.61,,Prelims,track,6,m,Men,400 M,44.61,True,3.0,6.0
2,6,William,JONES,JR,1129.0,USC,USC,44.76,,44.65,,Prelims,track,6,m,Men,400 M,44.76,True,4.0,5.0
3,6,Jayden,DAVIS,SO,132.0,Arizona State,AZST,44.84,,44.84,,Prelims,track,6,m,Men,400 M,44.84,True,5.0,4.0
2,9,Will,FLOYD,SO,356.0,Georgia,UGA,44.93,,44.93,,Prelims,track,6,m,Men,400 M,44.93,True,6.0,3.0
3,7,Joseph,TAYLOR,FR,270.0,Duke,DUKE,44.98,,44.98,,Prelims,track,6,m,Men,400 M,44.98,True,7.0,2.0
2,5,Gabriel,MORONTA,SR,917.0,South Florida,USF,45.01,,45.01,,Prelims,track,6,m,Men,400 M,45.01,True,8.0,1.0
3,2,Johnny,GOODE,SR,203.0,California,CAL,45.02,,45.02,,Prelims,track,6,m,Men,400 M,45.02,True,9.0,0.0
2,3,Edidiong,UDO,FR,745.0,Ohio State,OHST,45.19,,45.19,,Prelims,track,6,m,Men,400 M,45.19,True,10.0,0.0
3,5,Nathan,KENT,JR,661.0,Navy,NAVY,45.23,,45.23,,Prelims,track,6,m,Men,400 M,45.23,True,11.0,0.0
2,8,Anthony,EAST III,SR,388.0,Houston,UH,45.23,,45.23,,Prelims,track,6,m,Men,400 M,45.23,True,11.0,0.0
1,7,DeSean,BOYCE,JR,1067.0,Texas Tech,TTU,45.27,,44.85,,Prelims,track,6,m,Men,400 M,45.27,True,13.0,0.0
3,9,Jenoah,MCKIVER,SR,317.0,Florida,UF,45.29,,44.74,,Prelims,track,6,m,Men,400 M,45.29,True,14.0,0.0
2,7,Shemar,CHAMBERS,SR,354.0,Georgia,UGA,45.29,,45.29,,Prelims,track,6,m,Men,400 M,45.29,True,14.0,0.0
2,2,Cutler,ZAMZOW,SR,1049.0,Texas A&M,TAMU,45.30,,45.30,,Prelims,track,6,m,Men,400 M,45.3,True,16.0,0.0
3,3,Ervin,PEARSON,FR,362.0,Georgia,UGA,45.32,,45.32,,Prelims,track,6,m,Men,400 M,45.32,True,17.0,0.0
1,2,Malik,RICKETTS,SR,832.0,Pittsburgh,PITT,45.45,,45.45,,Prelims,track,6,m,Men,400 M,45.45,True,18.0,0.0
3,4,Jalen,WILLIAMS,JR,1231.0,Wisconsin,WISC,45.49,,45.49,,Prelims,track,6,m,Men,400 M,45.49,True,19.0,0.0
3,8,Shaemar,UTER,JR,1078.0,Texas Tech,TTU,45.52,,45.52,,Prelims,track,6,m,Men,400 M,45.52,True,20.0,0.0
1,3,Jordan,PIERRE,SO,104.0,Arkansas-Pine Bluff,UAPB,45.54,,45.54,,Prelims,track,6,m,Men,400 M,45.54,True,21.0,0.0
1,8,Kelsey,SINGLETON,JR,887.0,Southern Miss.,USM,45.66,,45.66,,Prelims,track,6,m,Men,400 M,45.66,True,22.0,0.0
2,4,Gabriel,CLEMENT II,SO,1104.0,UCLA,UCLA,45.75,,45.75,,Prelims,track,6,m,Men,400 M,45.75,True,23.0,0.0
1,9,Hossam,HATIB,SR,1036.0,Texas A&M,TAMU,45.75,,45.12,,Prelims,track,6,m,Men,400 M,45.75,True,23.0,0.0
1,7,Nathaniel,EZEKIEL,SR,156.0,Baylor,BAY,47.89,,47.89,,Prelims,track,8,m,Men,400 M Hurdles,47.89,True,1.0,10.0
2,7,Saad,HINTI,FR,989.0,Tennessee,TENN,48.44,,48.44,,Prelims,track,8,m,Men,400 M Hurdles,48.44,True,2.0,8.0
2,6,Kody,BLACKWOOD,JR,1007.0,Texas,TEX,48.78,,48.78,,Prelims,track,8,m,Men,400 M Hurdles,48.78,True,3.0,6.0
3,7,Ja'Qualon,SCOTT,SR,1046.0,Texas A&M,TAMU,48.85,,48.85,,Prelims,track,8,m,Men,400 M Hurdles,48.85,True,4.0,5.0
3,5,Oskar,EDLUND,SR,1070.0,Texas Tech,TTU,49.00,,48.70,,Prelims,track,8,m,Men,400 M Hurdles,49.0,True,5.0,4.0
